Store Name,Link,Phone,Email,Address,Open Hours
Steamboat Springs,https://shop.lululemon.com/stores/us/steamboat-springs/steamboat-springs,970-879-1798,steamboat-store@lululemon.com,"730 Lincoln Avenue, Suite 320, Steamboat Springs, CO, US, 80487",Mon - Thu: 10:00am - 6:00pm; Fri - Sat: 10:00am - 7:00pm; Sun: 10:00am - 6:00pm
Vail Village,https://shop.lululemon.com/stores/us/vail/vail,970-474-5919,vailvillage-store@lululemon.com,"193 East Gore Creek Plaza, Unit A, Vail, CO, US, 81657",Mon - Sat: 10:00am - 7:00pm; Sun: 10:00am - 6:00pm
Vail Village Men's Pop Up,https://shop.lululemon.com/stores/us/vail/vail-village-mens-pop-up,970-476-7281,vailvillagemen-popup@lululemon.com,"162 Gore Creek Drive, Unit 136, Vail, CO, US, 81657",Mon - Sat: 10:00am - 7:00pm; Sun: 10:00am - 6:00pm
Orchard Town Center,https://shop.lululemon.com/stores/us/westminster/orchard-town-center,303-280-1622,orchardtown-store@lululemon.com,"14584 Orchard Parkway, Suite #350, Westminster, CO, US, 80023",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Danbury Fair Mall,https://shop.lululemon.com/stores/us/danbury/danburyfairmall,475-275-9553,danbury-store@lululemon.com,"7 Backus Avenue, D-201, Danbury, CT, US, 06810",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
"The Commons at Darien, Pop Up",https://shop.lululemon.com/stores/us/darien/the-commons-at-darien-pop-up,475-336-2093,darien-popup@lululemon.com,"The Commons at Darien, 94 Heights Road, Unit 106, Darien, CT, US, 06820",Mon - Sun: 10:00am - 6:00pm
Westfarms Mall,https://shop.lululemon.com/stores/us/west-hartford/farmington,860-979-5685,westfarmsmall-store@lululemon.com,"545 Westfarms Mall, Farmington, CT, US, 06032",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Greenwich Ave,https://shop.lululemon.com/stores/us/greenwich/greenwich,203-793-6259,greenwich-store@lululemon.com,"151 Greenwich Ave, Greenwich, CT, US, 06830",Mon - Sun: 10:00am - 6:00pm
New Haven,https://shop.lululemon.com/stores/us/new-haven/new-haven,475-275-9793,newhaven-store@lululemon.com,"13 Broadway, New Haven, CT, US, 06511",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Westport Store,https://shop.lululemon.com/stores/us/westport/westport,475-256-5433,westport-store@lululemon.com,"69 Main Street, Westport, CT, US, 06880",Mon - Sun: 10:00am - 6:00pm
Christiana Mall,https://shop.lululemon.com/stores/us/newark/christiana-mall,302-391-6064,christianamall-store@lululemon.com,"132 Christiana Mall, Unit 1374, Newark, DE, US, 19702",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Georgetown,https://shop.lululemon.com/stores/us/washington/georgetownstore,202-946-6709,georgetown-store@lululemon.com,"3265 M Street NW, Washington, DC, US, 20007",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 10:00am - 7:00pm
F Street,https://shop.lululemon.com/stores/us/washington/f-street,202-946-6821,fstreet-store@lululemon.com,"1090 F Street Northwest, Washington, DC, US, 20004",Mon: 10:00am - 7:00pm; Tue - Sat: 10:00am - 8:00pm; Sun: 10:00am - 7:00pm
Aventura Mall,https://shop.lululemon.com/stores/us/aventura/aventuramall,786-442-2724,aventura-store@lululemon.com,"19565 Biscayne Blvd, Unit 910, Aventura, FL, US, 33180",Mon - Sat: 10:00am - 9:30pm; Sun: 11:00am - 8:00pm
Boca Town Center,https://shop.lululemon.com/stores/us/boca-raton/bocaraton,561-621-3270,bocatowncenter-store@lululemon.com,"6000 Glades Road, 1148C, Boca Raton, FL, US, 33431",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Merrick Park,https://shop.lululemon.com/stores/us/coral-gables/merrick-park,305-506-1378,merrickpark-store@lululemon.com,"342 San Lorenzo, Unit 1050, Coral Gables, FL, US, 33146",Mon - Thu: 11:00am - 8:00pm; Fri - Sat: 11:00am - 9:00pm; Sun: 11:00am - 6:00pm
Coconut Point Pop Up,https://shop.lululemon.com/stores/us/estero/coconut-point-pop-up,239-913-6974,coconutpoint-popup@lululemon.com,"23151 Fashion Drive, Suite 107, Estero, FL, US, 33928",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Miromar Outlets,https://shop.lululemon.com/stores/us/estero/miromar-outlets,239-421-0001,miromar-outlet@lululemon.com,"10801 Corkscrew Road, Unit 358, Estero, FL, US, 33928",Mon - Thu: 10:00am - 7:00pm; Fri - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
River Market,https://shop.lululemon.com/stores/us/fort-lauderdale/river-market,954-787-5456,rivermarket-store@lululemon.com,"2360 N. Federal Highway, Fort Lauderdale, FL, US, 33305",Mon - Sat: 10:00am - 8:00pm; Sun: 10:00am - 6:00pm
"Las Olas Blvd, Ft Lauderdale",https://shop.lululemon.com/stores/us/fort-lauderdale/las-olas-blvd-ft-lauderdale,954-287-0993,lasolasblvd-store@lululemon.com,"1016 East Las Olas, Fort Lauderdale, FL, US, 33301",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
St Johns Ctr,https://shop.lululemon.com/stores/us/jacksonville/stjohnscenter,904-822-4110,jacksonville-store@lululemon.com,"4791 River City Drive Suite143, Jacksonville, FL, US, 32246",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Disney Springs,https://shop.lululemon.com/stores/us/lake-buena-vista/disney-springs,407-305-3514,disneysprings-store@lululemon.com,"1520 E Buena Vista Drive, Lake Buena Vista, FL, US, 32830",Mon - Thu: 10:00am - 11:00pm; Fri - Sat: 10:00am - 11:30pm; Sun: 10:00am - 11:00pm
Brickell City Centre,https://shop.lululemon.com/stores/us/miami/brickell-city-center,786-442-2417,brickell-store@lululemon.com,"701 South Miami Avenue, Unit 256, Miami, FL, US, 33130",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Miami Worldcenter,https://shop.lululemon.com/stores/us/miami/miami-worldcenter,305-680-5917,miami-store@lululemon.com,"652 NE 2nd Ave, Suite 152, Miami, FL, US, 33132",Mon - Sat: 11:00am - 8:00pm; Sun: 12:00pm - 6:00pm
Dadeland Mall,https://shop.lululemon.com/stores/us/miami/dadeland-mall,786-847-7631,dadeland-store@lululemon.com,"7535 North Kendall Drive, Space 2140, Miami, FL, US, 33156",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
lululemon Lincoln Road,https://shop.lululemon.com/stores/us/miami/lincolnroad,786-738-9578,lincolnroad-store@lululemon.com,"800 Lincoln Road, Suite 810, Miami Beach, FL, US, 33139",Mon - Sat: 11:00am - 9:00pm; Sun: 11:00am - 8:00pm
Grand Boulevard,https://shop.lululemon.com/stores/us/miramar-beach/grand-boulevard,850-724-8859,grandblvd-store@lululemon.com,"500 Grand Boulevard, Suite K-107A, Miramar Beach, FL, US, 32550",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Waterside Shops,https://shop.lululemon.com/stores/us/naples/naples,239-977-2609,naples-store@lululemon.com,"5555 Tamiami Trail North, Unit G-10, Naples, FL, US, 34108",Mon - Sat: 10:00am - 7:00pm; Sun: 11:00am - 5:00pm
Orlando Premium Outlet,https://shop.lululemon.com/stores/us/orlando/orlandooutlets,407-238-1076,orlandooutlet-store@lululemon.com,"8174 Vineland Avenue, Space #1509, Orlando, FL, US, 32821",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Mall at Millenia,https://shop.lululemon.com/stores/us/orlando/mallatmillenia,407-305-5032,mallatmillenia-store@lululemon.com,"4200 Conroy Road, E135, Orlando, FL, US, 32839",Mon - Fri: 11:00am - 9:00pm; Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Florida Mall Pop Up,https://shop.lululemon.com/stores/us/orlando/florida-mall-pop-up,689-304-5237,floridamall-popup@lululemon.com,"8001 S Orange Blossom Trl, 410B, Orlando, FL, US, 32809",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
The Gardens,https://shop.lululemon.com/stores/us/palm-beach-gardens/thegardens,561-621-3579,gardens-store@lululemon.com,"3101 PGA Blvd, M-207, Palm Beach Gardens, FL, US, 33410",Mon - Sat: 10:00am - 8:00pm; Sun: 12:00pm - 6:00pm
Shops At Pembroke Gardens,https://shop.lululemon.com/stores/us/pembroke-pines/shops-at-pembroke-gardens,754-816-1608,pembroke-store@lululemon.com,"14564 SW 5th Street, Pembroke Pines, FL, US, 33027",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Grayton Beach,https://shop.lululemon.com/stores/us/santa-rosa-beach/grayton-beach,850-409-9530,graytonbeach-store@lululemon.com,"80 E Co Hwy 30A, Santa Rosa Beach, FL, US, 32459",Mon - Sat: 10:00am - 7:00pm; Sun: 10:00am - 6:00pm
University Town Center,https://shop.lululemon.com/stores/us/sarasota/universitytowncenter,941-909-3431,sarasota-store@lululemon.com,"140 University Town Center Drive, Unit 275, Sarasota, FL, US, 34243",Mon: Closed; Tue - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Sawgrass Mills Outlet,https://shop.lululemon.com/stores/us/sunrise/sawgrass-mills-outlet,954-908-8829,sawgrassmills-outlet@lululemon.com,"1800 Sawgrass Circle, Suite 4075, Sunrise, FL, US, 33323",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 8:00pm
Miracle Plaza,https://shop.lululemon.com/stores/us/tallahassee/miracle-plaza,850-493-7102,miracleplaza-store@lululemon.com,"1817 Thomasville Road, Ste 530, Tallahassee, FL, US, 32303",Mon - Sat: 10:00am - 7:30pm; Sun: 11:00am - 6:00pm
International Plaza,https://shop.lululemon.com/stores/us/tampa/international-plaza,813-872-6831,internationalplaza@lululemon.com,"2223 North West Shore Blvd, Unit 264, Tampa, FL, US, 33607",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Hyde Park Village,https://shop.lululemon.com/stores/us/tampa/hydeparkvillage,813-733-6272,hydeparkvlg-store@lululemon.com,"727 South Dakota Avenue, Tampa, FL, US, 33606",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
The Avenue Viera,https://shop.lululemon.com/stores/us/viera/the-avenue-viera,321-510-0609,avenueviera-store@lululemon.com,"2271 Town Center Blvd, unit 107, Viera, FL, US, 32940",Mon - Sat: 10:00am - 7:00pm; Sun: 12:00pm - 6:00pm
The Square,https://shop.lululemon.com/stores/us/west-palm-beach/the-square,561-621-3431,rosemarysquare-store@lululemon.com,"701 South Rosemary Avenue, #141, West Palm Beach, FL, US, 33401",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Winter Park,https://shop.lululemon.com/stores/us/winter-park/winter-park,407-554-5121,winterpark-store@lululemon.com,"200 N. Park Ave, Winter Park, FL, US, 32789",Mon - Sat: 10:00am - 7:00pm; Sun: 10:30am - 5:30pm
Avalon,https://shop.lululemon.com/stores/us/alpharetta/avalon,678-606-9135,alpharetta-store@lululemon.com,"5185 Avalon Boulevard, Alpharetta, GA, US, 30009",Mon - Sat: 10:00am - 9:00pm; Sun: 12:00pm - 7:00pm
Beechwood Shopping Center Pop Up,https://shop.lululemon.com/stores/us/athens/beechwood-shopping-center-pop-up,706-208-3661,Beechwood-popup@lululemon.com,"196 Alps Road, Suites 142-2 & 142-A, athens, GA, US, 30606",Mon - Sat: 10:00am - 8:00pm; Sun: 12:00pm - 7:00pm
Cumberland Mall Pop Up,https://shop.lululemon.com/stores/us/atlanta/cumberland-mall-seasonal-store,470-750-1854,cumberland-popup@lululemon.com,"2860 Cumberland Mall, Suite 1358, Atlanta, GA, US, 30339",Mon - Sat: 11:00am - 8:00pm; Sun: 12:00pm - 6:00pm
Shops Around Lenox,https://shop.lululemon.com/stores/us/atlanta/lenox,470-394-5809,lenox-store@lululemon.com,"3400 Around Lenox Road, 102A/B, Atlanta, GA, US, 30326",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Ponce City Market,https://shop.lululemon.com/stores/us/atlanta/ponce-city,470-333-7613,poncecity-store@lululemon.com,"675 Ponce de Leon Ave, NE, Suite C187, Atlanta, GA, US, 30308",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Howell Mill,https://shop.lululemon.com/stores/us/atlanta/howellmill,404-777-5232,howellmill-store@lululemon.com,"1168 Howell Mill Rd, Unit A, B, C, Atlanta, GA, US, 30318",Mon - Thu: 10:00am - 7:00pm; Fri - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Perimeter Mall,https://shop.lululemon.com/stores/us/atlanta/atlanta,470-594-4961,perimeter-store@lululemon.com,"4400 Ashford Dunwoody Rd, Suite 2565, Atlanta, GA, US, 30346",Mon - Sat: 11:00am - 8:00pm; Sun: 12:00pm - 6:00pm
Augusta Mall Pop Up,https://shop.lululemon.com/stores/us/augusta/augusta-mall,706-998-4098,augusta-popup@lululemon.com,"3450 Wrightsboro Rd, Unit B215, Augusta, GA, US, 30909",Mon - Thu: 11:00am - 7:00pm; Fri: 11:00am - 8:00pm; Sat: 10:00am - 8:00pm; Sun: 12:00pm - 6:00pm
North Georgia Premium Outlets,https://shop.lululemon.com/stores/us/dawsonville/north-georgia-premium-outlets,706-216-1231,northgeorgia-outlet@lululemon.com,"800 Highway 400 S, Suite 590, Dawsonville, GA, US, 30534",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 12:00pm - 6:00pm
The Avenue East Cobb,https://shop.lululemon.com/stores/us/marietta/the-avenue-east-cobb,678-839-9553,eastcobb-store@lululemon.com,"4475 Roswell Rd, Suite A-300, Marietta, GA, US, 30062",Mon - Sat: 10:00am - 8:00pm; Sun: 12:00pm - 6:00pm
The Avenue at Peachtree City,https://shop.lululemon.com/stores/us/peachtree-city/the-avenue-at-peachtree-city,678-940-4629,peachtreecity-store@lululemon.com,"215 City Circle, Suite 420, Peachtree City, GA, US, 30269",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Forum on Peachtree Parkway,https://shop.lululemon.com/stores/us/peachtree-corners/forum-on-peachtree-parkway,678-321-9072,peachtreepkwy-store@lululemon.com,"5155 Peachtree Pkwy, Space 405, Peachtree Corners, GA, US, 30092",Mon - Sat: 10:00am - 9:00pm; Sun: 12:00pm - 6:00pm
Broughton St,https://shop.lululemon.com/stores/us/savannah/broughton-st,912-913-7499,savannah-store@lululemon.com,"309 West Broughton Street, Savannah, GA, US, 31401",Mon - Thu: 10:00am - 7:00pm; Fri - Sat: 10:00am - 8:00pm; Sun: 10:00am - 6:00pm
Ala Moana Ctr.,https://shop.lululemon.com/stores/us/honolulu/alamoanacenter,808-818-8817,alamoana-store@lululemon.com,"1450 Ala Moana Blvd, Unit 2715, Honolulu, HI, US, 96814",Mon - Sat: 10:00am - 8:00pm; Sun: 10:00am - 7:00pm
Kalakaua Avenue,https://shop.lululemon.com/stores/us/honolulu/kalakaua-avenue,808-736-3981,Kalakaua-store@lululemon.com,"2424 Kalakaua Ave, Suite 117, Honolulu, HI, US, 96815",Mon - Sun: 10:00am - 9:00pm
"The Shops at Kukui""ula",https://shop.lululemon.com/stores/us/koloa/the-shops-at-kukui-ula,808-808-7237,kukuiula-store@lululemon.com,"2829 Ala Kalanikaumaka Street, A101, Koloa, HI, US, 96756",Mon - Sun: 10:00am - 8:00pm
Whalers Village,https://shop.lululemon.com/stores/us/lahaina/whalers-village,808-736-3895,whalersvillage-store@lululemon.com,"2435 Kaanapali Parkway, Space I-26, Lahaina, HI, US, 96761",Mon - Sun: 10:00am - 7:00pm
Wailea,https://shop.lululemon.com/stores/us/wailea/shops-at-wailea,808-818-8509,shopsatwailea-store@lululemon.com,"EW-18 - 3750 Wailea Alanui Dr, Wailea, HI, US, 96753",Mon - Sun: 9:00am - 8:00pm
Boise Town Square,https://shop.lululemon.com/stores/us/boise/boise-town-square,208-997-4115,boise-store@lululemon.com,"350 North Milwaukee, Space 1025, Boise, ID, US, 83704",Mon - Thu: 10:00am - 7:00pm; Fri - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
The Local Sun Valley,https://shop.lululemon.com/stores/us/ketchum/the-local-sun-valley,208-291-1209,sunvalley-local@lululemon.com,"191 North Main Street, Ketchum, ID, US, 83340",Mon - Sat: 10:00am - 6:00pm; Sun: 11:00am - 5:00pm
The Village at Meridian,https://shop.lululemon.com/stores/us/meridian/meridianvillage,208-644-8075,meridian-store@lululemon.com,"3597 East Monarch Sky Lane, #100, Meridian, ID, US, 83642",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
900 N Michigan Ave,https://shop.lululemon.com/stores/us/chicago/michiganavenue,312-967-0317,900michigan-store@lululemon.com,"900 North Michigan Ave, Suite L3-03, Chicago, IL, US, 60611",Mon - Sat: 10:00am - 7:00pm; Sun: 12:00pm - 6:00pm
Bucktown,https://shop.lululemon.com/stores/us/chicago/bucktown,773-839-3816,bucktown-store@lululemon.com,"1627 N Damen Ave, Chicago, IL, US, 60647",Mon - Fri: 10:00am - 7:00pm; Sat - Sun: 10:00am - 6:00pm
Southport Avenue,https://shop.lululemon.com/stores/us/chicago/southport,773-839-7744,southport-store@lululemon.com,"3556 N. Southport Ave, Chicago, IL, US, 60657",Mon - Sat: 10:00am - 7:00pm; Sun: 10:00am - 6:00pm
Rush Street,https://shop.lululemon.com/stores/us/chicago/rushwalton,312-847-2730,rush-store@lululemon.com,"930 N Rush St, Chicago, IL, US, 60611",Mon - Sat: 10:00am - 8:00pm; Sun: 10:00am - 7:00pm
Chicago Outlet,https://shop.lululemon.com/stores/us/chicago/chicago-outlet,847-233-0057,chicago-outlet@lululemon.com,"5220 Fashion Outlets Way, Rosemont, Chicago, IL, US, 60018",Mon - Sat: 10:00am - 8:00pm; Sun: 10:00am - 7:00pm
Fulton Market,https://shop.lululemon.com/stores/us/chicago/fulton-market,312-243-2788,fultonmarket-store@lululemon.com,"932 W Randolph St, Chicago, IL, US, 60607",Mon - Sat: 10:00am - 7:00pm; Sun: 10:00am - 6:00pm
Deer Park Town Center,https://shop.lululemon.com/stores/us/deer-park/deerpark,847-241-1391,deerpark-store@lululemon.com,"20530 North Rand Road, Unit 236, Deer Park, IL, US, 60010",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 5:00pm
Market Square,https://shop.lululemon.com/stores/us/lake-forest/market-square,847-250-4097,marketsquare-store@lululemon.com,"680 Western Ave, Lake Forest, IL, US, 60045",Mon - Sat: 10:00am - 6:00pm; Sun: 10:00am - 5:00pm
Naperville,https://shop.lululemon.com/stores/us/naperville/naperville,630-491-4607,naperville-store@lululemon.com,"50 South Main Street, Suite 130, Naperville, IL, US, 60540",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Northbrook Court,https://shop.lululemon.com/stores/us/northbrook/northbrook,847-572-8097,northbrook-store@lululemon.com,"2106 Northbrook Court Ct, Unit 2176, Northbrook, IL, US, 60062",Mon - Sat: 11:00am - 7:00pm; Sun: 11:00am - 6:00pm
Oakbrook Ctr,https://shop.lululemon.com/stores/us/oak-brook/oak-brookcenter,630-368-1610,oakbrook-store@lululemon.com,"82 Oakbrook Center, Oak Brook, IL, US, 60523",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Woodfield Mall,https://shop.lululemon.com/stores/us/schaumburg/woodfieldmall,847-719-6207,woodfieldmall-store@lululemon.com,"Woodfield Mall, L304, Schaumburg, IL, US, 60173",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Westfield Old Orchard,https://shop.lululemon.com/stores/us/skokie/skokie,847-719-6200,oldorchard-store@lululemon.com,"4999 Old Orchard Center, Unit A8, Skokie, IL, US, 60077",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Clay Terrace,https://shop.lululemon.com/stores/us/carmel/clay-terrace-,317-818-8109,clayterrace-store@lululemon.com,"14405 Clay Terrace Boulevard, Unit 103, Carmel, IN, US, 46032",Mon - Sat: 10:00am - 8:00pm; Sun: 12:00pm - 6:00pm
Keystone Mall,https://shop.lululemon.com/stores/us/indianapolis/keystone,317-597-8092,keystone-store@lululemon.com,"8702 Keystone Crossing, Unit 21A, Indianapolis, IN, US, 46240",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 12:00pm - 6:00pm
University Park Mall,https://shop.lululemon.com/stores/us/mishawaka/university-park-mall,574-821-5731,universitypark-store@lululemon.com,"6501 N Grape Rd., 354A, Mishawaka, IN, US, 46545",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 12:00pm - 6:00pm
Iowa River Landing,https://shop.lululemon.com/stores/us/coralville/Iowa-River-Landing-Local,319-346-3360,iowariver-store@lululemon.com,"920 east second avenue, suite 135, Coralville, IA, US, 52241",Mon - Sat: 10:00am - 7:00pm; Sun: 11:00am - 5:00pm
Jordan Creek Town Center,https://shop.lululemon.com/stores/us/west-des-moines/jordan-creek-town-center,515-497-9662,jordancreek-store@lululemon.com,"101 Jordan Creek Parkway, Unit 11145, West Des Moines, IA, US, 50266",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Leawood Store,https://shop.lululemon.com/stores/us/leawood/leawood,913-347-4524,leawood-store@lululemon.com,"4553 W 119th St, A110, Leawood, KS, US, 66209",Mon - Sat: 10:00am - 8:00pm; Sun: 12:00pm - 5:00pm
Bradley Fair Shopping Center,https://shop.lululemon.com/stores/us/wichita/bradley-fair-shopping-center,316-395-5791,wichita-store@lululemon.com,"2000 North Rock Road, Suite 108, Wichita, KS, US, 67206",Mon - Sat: 10:00am - 8:00pm; Sun: 12:00pm - 6:00pm
lululemon Lexington,https://shop.lululemon.com/stores/us/lexington/lexingtongreen,859-765-7374,lexington-store@lululemon.com,"151 Larue, Suite 135, Lexington, KY, US, 40517",Mon - Sat: 10:00am - 8:00pm; Sun: 12:00pm - 6:00pm
Oxmoor Center,https://shop.lululemon.com/stores/us/louisville/oxmoor-center,502-466-7245,oxmoorcenter-store@lululemon.com,"7900 Shelbyville Rd, Unit C01, Louisville, KY, US, 40222",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Acadian Village,https://shop.lululemon.com/stores/us/baton-rouge/acadian-village,225-314-6510,acadianvillage-store@lululemon.com,"3535 Perkins Road, Building 400, Baton Rouge, LA, US, 70808",Mon - Sat: 10:00am - 7:00pm; Sun: 10:00am - 5:00pm
Settlers Trace Pop Up,https://shop.lululemon.com/stores/us/lafayette/settlers-traces-pop-up,337-406-8491,settlerstrace-popup@lululemon.com,"Suite 5, 500 Settlers Trace Boulevard, Lafayette, LA, US, 70508",Mon - Sat: 10:00am - 6:00pm; Sun: 12:00pm - 5:00pm
Lakeside Shopping Center,https://shop.lululemon.com/stores/us/metairie/lakeside-shopping-center,504-608-4863,metairie-store@lululemon.com,"3301 Veterans Memorial Blvd, 54A, Metairie, LA, US, 70002",Mon - Thu: 10:00am - 7:00pm; Fri - Sat: 10:00am - 8:00pm; Sun: 12:00pm - 6:00pm
Canal Place,https://shop.lululemon.com/stores/us/new-orleans/canalplace,504-788-2857,canalplace-store@lululemon.com,"333 Canal Street, Unit 100, New Orleans, LA, US, 70130",Mon - Sat: 11:00am - 7:00pm; Sun: 12:00pm - 6:00pm
Fern Market Place,https://shop.lululemon.com/stores/us/shreveport/fern-market-place,318-602-4380,Fernmarket-store@lululemon.com,"1384 East 70th Street, Suite 500, Shreveport, LA, US, 71105",Mon - Sat: 10:00am - 7:00pm; Sun: 11:00am - 5:00pm
Kittery Outlet,https://shop.lululemon.com/stores/us/kittery/kittery,207-813-2402,kittery-outlet@lululemon.com,"340 Route 1, Suite 3, Kittery, ME, US, 03904",Mon - Sat: 10:00am - 8:00pm; Sun: 10:00am - 6:00pm
Maine Mall,https://shop.lululemon.com/stores/us/south-portland/maine-mall,207-352-3738,mainemall-store@lululemon.com,"364 Maine Mall Road, E115, South Portland, ME, US, 04106",Mon - Sat: 10:00am - 7:00pm; Sun: 11:00am - 6:00pm
Annapolis,https://shop.lululemon.com/stores/us/annapolis/annapolis,410-457-9665,annapolis-store@lululemon.com,"2002 Annapolis Mall Rd, Unit 1454, Annapolis, MD, US, 21401",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Harbor East,https://shop.lululemon.com/stores/us/baltimore/harboreast,443-347-5584,harboreast-store@lululemon.com,"1001-B Fleet St, Suite C, Baltimore, MD, US, 21202",Mon - Thu: 10:00am - 7:00pm; Fri - Sat: 10:00am - 8:00pm; Sun: 10:00am - 6:00pm
Bethesda Row,https://shop.lululemon.com/stores/us/bethesda/bethesda,301-690-9278,bethesda-store@lululemon.com,"4838 Bethesda Ave, Unit 16, Bethesda, MD, US, 20814",Mon - Sat: 10:00am - 8:00pm; Sun: 10:00am - 7:00pm
Montgomery Mall,https://shop.lululemon.com/stores/us/bethesda/montgomerymall,301-889-8094,montgomerymall-store@lululemon.com,"7101 Democracy Boulevard, Unit #1268, Bethesda, MD, US, 20817",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Mall in Columbia,https://shop.lululemon.com/stores/us/columbia/columbia,410-449-1476,mallincolumbia-store@lululemon.com,"10300 Little Patuxent Parkway, Unit 2750, Columbia, MD, US, 21044",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Gaithersburg,https://shop.lululemon.com/stores/us/gaithersburg/gaithersburg-store,240-635-8698,gaithersburg-store@lululemon.com,"138 Crown Park Avenue, Gaithersburg, MD, US, 20878",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Towson Center,https://shop.lululemon.com/stores/us/towson/towsoncenter,443-347-5331,towsoncenter-store@lululemon.com,"825 Dulaney Valley Road, Unit 4133, Towson, MD, US, 21204",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Boston Seaport,https://shop.lululemon.com/stores/us/boston/seaport,857-847-3441,seaport@lululemon.com,"62 Seaport Blvd, Boston, MA, US, 02210",Mon - Sat: 10:00am - 8:00pm; Sun: 11:00am - 6:00pm
Prudential Center,https://shop.lululemon.com/stores/us/boston/prudential,617-202-3617,prudential-store@lululemon.com,"776 Boylston Street, Unit 6B, Boston, MA, US, 02199",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 7:00pm
Burlington Mall,https://shop.lululemon.com/stores/us/burlington/burlingtonmall,360-284-1150,burlingtonmall-store@lululemon.com,"75 Middlesex Turnpike, Suite 1047B, Burlington, MA, US, 01803",Mon - Thu: 10:00am - 8:00pm; Fri - Sat: 10:00am - 9:00pm; Sun: 11:00am - 6:00pm
Chestnut Hill,https://shop.lululemon.com/stores/us/chestnut-hill/chestnut-hill,857-419-7761,chestnuthill-store@lululemon.com,"55 Boylston Street, Chestnut Hill, MA, US, 02467",Mon - Sat: 10:00am - 9:00pm; Sun: 11:00am - 8:00pm
